año,emisiones,emisoras,nc_inicio,nc_fin
2004,Emisiones ,RETC2004,0,8
2005,Emisiones,RETC2005,0,8
2006,Emisiones y Transferencias,Datos Generales,0,9
2007,Emisiones y Transferencias,Datos Generales,0,9
2008,Emisiones y Transferencias,Datos Generales,0,9
2009,Emisiones y Transferencias,Datos Generales,0,9
2010,Emisiones y Transferencias,Datos Generales,0,9
2011,Emisiones y Transferencias,Datos Generales,0,9
2012,Emisiones y Transferencias,Datos Generales,0,8
2013,Emisiones y Transferencias,Datos Generales,0,9
2014,Emisiones y Transferencias,Datos Generales,0,9
2015,Emisiones y Transferencias,Datos Generales,0,9
2016,Emisiones y Transferencias,Datos Generales,0,8
2017,Emisiones y Transferencias,Datos Generales,0,9
2018,Emisiones y Transferencias,Datos Generales,0,9
2019,Emisiones y Transferencias,Datos Generales,0,9
2020,Emisiones y Transferencias,Datos Generales,0,9
2021,Emisiones y Transferencias,Datos Generales,0,9
2022,Emisiones y Transferencias,Datos Generales,0,9
2023,Emisiones y Transferencias,Datos Generales,0,9
