cve_ent	nombre1	nombre2
01	AGUASCALIENTES	Aguascalientes
02	BAJA CALIFORNIA	Baja California
03	BAJA CALIFORNIA SUR	Baja California Sur
04	CAMPECHE	Campeche
05	COAHUILA	Coahuila de Zaragoza
06	COLIMA	Colima
07	CHIAPAS	Chiapas
08	CHIHUAHUA	Chihuahua
09	DISTRITO FEDERAL	Ciudad de México
10	DURANGO	Durango
11	GUANAJUATO	Guanajuato
12	GUERRERO	Guerrero
13	HIDALGO	Hidalgo
14	JALISCO	Jalisco
15	MEXICO	México
16	MICHOACAN	Michoacán de Ocampo
17	MORELOS	Morelos
18	NAYARIT	Nayarit
19	NUEVO LEON	Nuevo León
20	OAXACA	Oaxaca
21	PUEBLA	Puebla
22	QUERETARO	Querétaro
23	QUINTANA ROO	Quintana Roo
24	SAN LUIS POTOSI	San Luis Potosí
25	SINALOA	Sinaloa
26	SONORA	Sonora
27	TABASCO	Tabasco
28	TAMAULIPAS	Tamaulipas
29	TLAXCALA	Tlaxcala
30	VERACRUZ	Veracruz de Ignacio de la Llave
31	YUCATAN	Yucatán
32	ZACATECAS	Zacatecas
